Description,Summary,Cause of Issue,Request Category,Comments,input_text,Topic,Topic_Probability,Matched_Subtopic
Hello Please move SO160977 from Monday 524 to Tuesday 524 8am10am Thank you Partner Support Monday May 13 2024 410 PM DH CR CH Memorial Day 527 Dear Partners We hope this message finds you well We are reaching out to you today because we have discovered a system error that mistakenly marked Tuesday May 28th as Memorial Day instead of Monday May 27th As a result some of you were able to place an order for that day We apologize for any confusion this may have caused Please be advised that on the actual day of Memorial Day Monday May 27th Capital Area Food Bank will be closed Because of this we will need to move the day of your delivery to ensure that you receive your order on a different day that works with your schedule In order to make this change as quickly as possible please respond to this message at your earliest convenience with the most convenient day for your delivery We apologize for any inconvenience this may cause and appreciate your understanding Thank you for your patience and cooperation Sincerely Partner Support DH Manager of Customer Relations Distribution Network Evolution Capital Area Food Bank P 5713909875 7035410179 4900 Puerto Rico Ave NE Washington DC 20017 Please email all customer service questions or concerns to so that one of my colleagues or I can assist you promptly Thank you,Customer wants to move the delivery date due to a system error.,System Error,Orders - Pre delivery ->  Date/Time Change - New window,052024 0465d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879a | 052024 04f58131cbb67d43c7b30d6b58d40bd077Hi jmendylindabenfoundationorg We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 052024 1042Good morning Your order date has been updated Thank you,Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to move the delivery date due to a system error.,9,0.6381988688251565,Reschedule delivery date
Hello I realized that the default payment method has changed from Invoice to Credit Card Therefore sale order SO186611 has the wrong payment method Please change the payment method for that sale order from credit card to Thank you,Customer wants to change the payment method for a specific sale order.,Request of Customer Relations,Orders - Pre delivery -> General Questions,112024 10f58131cbb67d43c7b30d6b58d40bd077Dear Partners Thank you for submitting a ticket to Partner Support Please note that we are currently out of the office in observance of the Thanksgiving Holiday starting on November 27th at 3 PM We will return to the office on Monday at 8 AM We will respond to all tickets and phone calls upon our return Thank you and happy holidays Customer Relations | 122024 0945Good morning I hope you are doing well I have gone ahead and taken off the credit card off of your order so it is now invoiced and you can see the edit order button on PartnerLink Thank you | 122024 0265d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aHello I made a mistake on the last order Please change the payment method for that sale order SO187556 from credit card to Thank you | 122024 02f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved | 122024 0865d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879a Jeannette Mendy Tuesday December 3 2024 255 PM Partner Support Sale Order SO187556 Hello I made a mistake on the last order Please change the payment method for that sale order SO187556 from credit card to Thank you | 122024 0942Good morning We went ahead edited the billing section Please see if you can edit this now | 122024 0965d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aYes IaTMm allowed to make edits Thank you Could you please do the same with SO186681 | 122024 1005Yes,Orders - Pre delivery -> General Questions | Customer wants to change the payment method for a specific sale order.,17,1.0,Order Changes
Good morning It happened again Theres a problem with your ordering system I selected for sale order SO188746 as the payment method but I am unable to edit this sale order because the payment method is Please allow me to edit this sale order Thank you Jeannette Mendy LindaBen Foundation Inc Cell 4200787 PGC 11720 Beltsville Drive Ste 500 M8 Beltsville Maryland 20705 HoCo9770 Patuxent Woods Drive Ste 333 Columbia Maryland 21046 Web Instagram Facebook Twitter We are 501 taxexempt organization,Customer wants to edit a sale order because the payment method is not editable.,Request of Customer Relations,Orders - Pre delivery -> General Questions,122024 0965d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879a | 122024 1039Good morning Jeannette I have gone ahead and invoiced this order so you can edit it Let me know if you have any issues,Orders - Pre delivery -> General Questions | Customer wants to edit a sale order because the payment method is not editable.,13,0.7531973310126413,Edit Order Items
Hello I received this email below on Friday evening 125 that informed me of the removal of item 520059 from sale order SO191436 However I found it again available to order same quantity on Sunday evening 125 I added it again same quantity to my next order SO191941 Could you please let me know why it was removed from my order Could you guarantee that the item is available and it wont be remove again from SO191941 partner Support Friday January 24 2025 804 PM Jeannette Mendy Change in Your Upcoming Sales Order Dear Valued Partner We regret to inform you that we had to remove or reduce the quantity of item from your order Below is a list of item and reason for the change We understand that this change may cause inconvenience to you and your distribution plans and we apologize for the inconvenience Please note that if you are receiving this notification after your order has been locked which is three business days before your order is due to be picked up or delivered this change is most likely occurring during or after the pulling stage and unfortunately we cannot replace the item removed or make any further additions during this time period Item Reason for Change Ran Out of Product Line Not Fulfilled in WH To review an updated version of your order please log in to PartnerLink and visit the Order History tab If you have any queries or concerns please do not hesitate to contact us at Thank you for your understanding and continued support Best regards Partner Support,Customer is inquiring about a change in their upcoming sales order and wants to know why an item was removed and if it will be available again.,Request of Customer Relations,Menu -> Inventory Availability,012025 0865d20c5a0c84458e8ce1adb90d07460f731a0b6a173e4eec88c6921bcb4b9e4f | 012025 0248Good afternoon Thank you for reaching out I checked with our Operations Team and they confirmed that the item is in stock There was a previous issue with placing it due to it being moved to a different location Thank you,Menu -> Inventory Availability | Customer is inquiring about a change in their upcoming sales order and wants to know why an item was removed and if it will be available again.,3,1.0,Inventory status
Hello Please change the delivery method for SO170954 The order should not be delivered We will pick it up the same day 824 between 9 am and 10 am Thank you,Customer wants to change the delivery method for an order and pick it up same day.,Request of Customer Relations,Orders - Pre delivery ->  Change to Pickup/vice versa,082024 06f58131cbb67d43c7b30d6b58d40bd077Hi jmendylindabenfoundationorg Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 082024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support Unfortunately this order is locked and has moved to fulfillment We are unable to make any edits to your order once it locks 3 business days before your scheduled appointment Charity | 082024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Please forgive the the confusion as this was a duplicate request We are looking into accommodating this request will follow up directly with Anna Thank you Charity,Orders - Pre delivery ->  Change to Pickup/vice versa | Customer wants to change the delivery method for an order and pick it up same day.,8,0.4637540280931237,delivery scheduling
Hello I need to change the delivery date of our first 2025 order Would you please move up the date of sale order SO188746 from Monday 125 to Friday 125 1012 Thank you,Customer wants to change the delivery date of their order.,Request of Customer Relations,Orders - Pre delivery -> Data/Time Change - Reschedule,122024 01b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support We have rescheduled your order to 125 from 1012pm Charity,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change the delivery date of their order.,11,0.9038089586011958,change delivery date
Hello Please cancel order SO169022 Thank you Jeannette Mendy 4200787 LindaBen Foundation,Customer wants to cancel an order.,Request of Customer Relations,Orders - Pre delivery -> Cancelation,082024 04f58131cbb67d43c7b30d6b58d40bd077Hi jmendylindabenfoundationorg We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 082024 0465d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aSorry I meant to write SO169999 | 082024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support SO169999 has been cancelled Charity,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order.,0,1.0,cancel order
Hello Please cancel order SO169999 Thank you Jeannette Mendy 4200787 LindaBen Foundation,Customer wants to cancel order SO169999.,Request of Customer Relations,Orders - Pre delivery -> Cancelation,082024 05f58131cbb67d43c7b30d6b58d40bd077Hi jmendylindabenfoundationorg Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 082024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support SO169999 has been cancelled Charity,Orders - Pre delivery -> Cancelation | Customer wants to cancel order SO169999.,19,1.0,customer wants to cancel order
Hello Please cancel order SO171618 Thank you,Customer wants to cancel order SO171618,Request of Customer Relations,Orders - Pre delivery -> Cancelation,082024 11f58131cbb67d43c7b30d6b58d40bd077Hi jmendylindabenfoundationorg Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 082024 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support Your order has been cancelled Charity,Orders - Pre delivery -> Cancelation | Customer wants to cancel order SO171618,19,1.0,customer wants to cancel order
Hello I hope this message found you well Would you please make the following changes to order SO174321 Item 520160 quantity 3 Item 520388 quantity 7 Item 300027 quantity 10 Item 300042 quantity 21 Item 300049 quantity 25 Item 300007 quantity 35 Item 300388 quantity 0 Item 300008 quantity 43 Item 300044 quantity 37 Item 520420 quantity 0 Item 520425 quantity 38 I will create another order for 924 and add the items I removed if they are still available Thank you for your assistance Jeannette Mendy LindaBen Community Pantry Director 4200787,Customer requests changes to their order and wants to create a new order for a different quantity of items.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,082024 05f58131cbb67d43c7b30d6b58d40bd077Hi jmendylindabenfoundationorg Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 082024 0700Good afternoon I hope this message finds you well Upon reviewing your order I noticed that it is already locked due to the holiday closure on Monday Your order has already been fulfilled which means we are unable to make any further edits to it Please place another order if you would like to secure any additional items Best regards | 082024 1065d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aHello I understand it is locked but can we at least make the change for the only frozen item 520388 in SO174321 At this time I only need 7 cases If it is not possible to change the amount then please remove the item from the order Thank you | 082024 1008I have asked the Operations Team to deliver only 7 cases of item 520388 and I will work with them to process the return for the other 33 cases internally Thank you | 082024 1010Partner requests could not be made due to the holiday | 082024 1065d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aThank you so much for your assistance Have a great weekend | 082024 10f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved | 082024 1024Thank you for your response I spoke to our Operations Manager and he asked if you would like the additional 33 cases of chicken for your order in two weeks Since you place orders frequently we can hold them on behalf of your agency If this is not required we will proceed with the internal return process for your current order DH Manager of Customer Relations Distribution Network Evolution Capital Area Food Bank P 5713909875 7035410179 4900 Puerto Rico Ave NE Washington DC 20017 Please email all customer service questions or concerns to so that one of my colleagues or I can assist you promptly Thank you | 082024 1065d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aI would prefer not to add the additional 33 cases to the next order Even though I know our families would like to have chicken every week I want to distribute our leftover stock of pork chops and fish So the 7 cases of chicken will be sufficient for now Thank you | 082024 1037No problem at all DH Manager of Customer Relations Distribution Network Evolution Capital Area Food Bank P 5713909875 7035410179 4900 Puerto Rico Ave NE Washington DC 20017 Please email all customer service questions or concerns to so that one of my colleagues or I can assist you promptly Thank you | 092024 0965d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aGood morning Please call Joe Williams at CAFB so he can instruct the driver to return the item 520388 I only need 7 cases | 092024 0950I just spoke to Joe He will be contacting the driver momentarily,Orders - Pre delivery -> Edit Order Items | Customer requests changes to their order and wants to create a new order for a different quantity of items.,-1,0.0,Add items to order
Could you please remove the chicken she mentions I love that she tried to get me to do this after you all denied her Thank you Augusta Jeannette Mendy Friday August 30 2024 818 AM Augusta Fricke Annabelle Beavan Fwd Changes to Order SO174321 Good morning Augusta Im hoping you are well I needed to make some changes to my order yesterday but unfortunately I forgot that Monday was a holiday and the order was already locked My request was denied because the order was already fulfilled Would you please help me in that matter If it is impossible to reduce the amounts of some of the items then can you remove the only frozen item 520388 chicken leg quarters in order SO174321 Thank you for your assistance Best Regards Jeannette Mendy Community Pantry Director LindaBen Foundation Inc Cell 4200787 Web Instagram Facebook Twitter We are 501 taxexempt organization Jeannette Mendy Thursday August 29 2024 541 PM Partner Support SO174321 Hello I hope this message found you well Would you please make the following changes to order SO174321 Item 520160 quantity 3 Item 520388 quantity 7 Item 300027 quantity 10 Item 300042 quantity 21 Item 300049 quantity 25 Item 300007 quantity 35 Item 300388 quantity 0 Item 300008 quantity 43 Item 300044 quantity 37 Item 520420 quantity 0 Item 520425 quantity 38 I will create another order for 924 and add the items I removed if they are still available Thank you for your assistance Jeannette Mendy LindaBen Community Pantry Director 4200787 Get,"Customer requests changes to their order, including removing a frozen item.",Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,082024 09f58131cbb67d43c7b30d6b58d40bd077Hi Augusta Fricke We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 082024 1011Hey Augusta Yes I will respond to her now,"Orders - Pre delivery -> Edit Order Items | Customer requests changes to their order, including removing a frozen item.",15,0.9115371904069814,Cancel order
Hello Would you please make the following changes 1 Move the following two items from SO186611 to SO187556 520384 MD TEFAP CCC DARK RED KIDNEY BEANS CAN 24155 OZ Quantity 20 520454 MD TEFAP BON GRAPE CONCORD JUICE PLST BTL864 FL OZ Quantity 24 2 Cancel SO186611 Thank you,Customer wants to move two items from one order to another and cancel the original order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,122024 0233Good afternoon Thank you for reaching out to us This update and the changes have been made,Orders - Pre delivery -> Edit Order Items | Customer wants to move two items from one order to another and cancel the original order.,-1,0.0,Add items to order
Hello I need support adding some products to SO187759 I am trying to backorder two items 520332 Whole Chicken 40 cases and 520035 Oil 100 cases to this order but when I go to hit save this message pops up a saysThis sales order has both terms and a payment method set When this is the case payment method takes precedent and a cash sale will be generated upon billing To instead create an invoice remove the paymenta I did not want to mess up any of the payment or order so I stopped and put in this ticket Thank you Lucy,Customer wants to add products to their order but is unsure how to proceed.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,122024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support I have updated this partneraTMs billing option in NetSuite Feel free to try and make any changes again and let me know if it allows you to save Charity,Orders - Pre delivery -> Edit Order Items | Customer wants to add products to their order but is unsure how to proceed.,-1,0.0,Add items to order
Good morning Our last food distribution did not go as expected and we are left with a large quantity of frozen items Therefore our cold storage is very limited I would really appreciate it if you could accept the following changes to order SO188746 Cancel from the order 520357 Pork Chops cancel all 28 cases 100889 Teriyaki cauliflower cancel all 17 cases 100765 Oat milk cancel all 17 cases 520471 Swiss cheese cancel all 10 cases Reduce the amount od item 520059 Catfish We only need 14 cases Thank you so much,Customer is requesting changes to an order due to limited cold storage capacity.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,012025 1112Good morning Thank you for reaching out to Customer Relations and Happy New Year Yes I have gone ahead and edited your order accordingly Thank you and have a great day,Orders - Pre delivery -> Edit Order Items | Customer is requesting changes to an order due to limited cold storage capacity.,13,0.8314716686430811,Order Adjustment
Hello Please transfer the following three items from sale order SO190048 to sale order SO190298 520020 MD TEFAP ENT RICE US2 LONG GRAIN PKG242 LB 26 bags 520333 MD TEFAP ENT MIXED FRESH PRODUCE BOXAVG 11 LB 200 boxes 520053 MD TEFAP BON Apples Fresh 12 3 lb bags 15 cases You can close sale order SO190048 Thank you,Customer wants to transfer items from one sale order to another.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,012025 0609Good afternoon Thank you for reaching out to Customer Relations I have made the requested change for you but there were two discrepancies For the procue boxes we only have 150 available and 50 have been backordered I have reached out to Lucy to confirm if we will be receiving more of these boxes before your order date If we do not receive any more your order will be limited to 150 cases only Regarding the apples we currently have 14 cases available but 1 case is backordered I will inquire about both items with Lucy to see if there is anything we can do and I will follow up with you soon Best regards | 012025 0665d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aThank you so much Enjoy your evening and stay safe | 012025 0121Your order reflects 200 produce boxes and 15 cases of the apples | 012025 0165d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aThank you so much Enjoy your day as well | 012025 01f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> Edit Order Items | Customer wants to transfer items from one sale order to another.,-1,0.0,Add items to order
Good morning Could you please move item 700661 Produce 4way 50 Mixed PALLET 40 12000 lbs Pallet from sale order SO192258 to sale order SO191436 Once the item is moved you can close sale order SO192258 Thank you,Customer wants to move an item from one sale order to another.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,012025 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support We have accommodated this request Charity,Orders - Pre delivery -> Edit Order Items | Customer wants to move an item from one sale order to another.,-1,0.0,Add items to order
Good morning I need to return item 300256 as it came damaged Can I give it to the delivery driver on Monday 1024 when he delivers SO177944 Please advise,Customer wants to return an item that came damaged and needs to know how to handle the return.,Ops Issue,Delivery / Pickup -> Missing Item - Refund,102024 1165d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879a | 102024 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support We have submitted a request for Transportation to pick up the damaged product you received and will confirm with you once that appointment has been scheduled Charity | 102024 12b15fa988bc6049b4aa6fe30b7a3629c1Good morning Can you please estimate the amount of damaged product your received How many cases in total would be helpful Also can you please let me know if you would prefer a credit or a replacement of the damaged product Please note we can only replace the product if we still have it in our inventory Charity | 102024 1265d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aItaTMs only one case 2450 and we would prefer a credit Thank you Jeannette | 102024 12b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon I have processed with a total of 2450 to your agency account Thank you Charity | 102024 0465d20c5a0c84458e8ce1adb90d07460fe03b0d0106f5475f8f0864bb9a4a879aHello I had two deliveries after my request to return one item 1024 and 1024 Each time the driver was not instructed to accept the item My next delivery is scheduled for 1024 Please let me know how to proceed Should I discard of the item or wait for a delivery driver to pick it up Thank you Best Jeannette Mendy | 102024 04f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Delivery / Pickup -> Missing Item - Refund | Customer wants to return an item that came damaged and needs to know how to handle the return.,2,0.5426032543001059,Delivery / Pickup - Return - Quality
We are unable to add a DELIVERY order for February 28th even though the order is closed This date was initially set up due to the inclement weather Please allow us to set up a delivery for February 28th Thanks,Customer wants to set up a delivery for February 28th despite previous inclement weather.,System Error,PartnerLink -> ERP Issue,022025 0938c8249284fe40dc890161d65a68f6d3Good morning and thank you for contacting customer support I have reached out to our IT team about your inquiry I will follow up with you as soon as they provide me feedback CiArra | 022025 1038c8249284fe40dc890161d65a68f6d3Good morning You are able to place an order for the 28th now CiArra | 022025 1165d20c5a0c84458e8ce1adb90d07460f2d55c854186845c0af26130a1c9758edHi When I just logged on I am still getting the error It says available 12 Taken 11 for the 800 timeframe | 022025 11f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved | 022025 1238c8249284fe40dc890161d65a68f6d3Good afternoon I have logged in and was able to start placing an order for the 28th Please try again CiArra,PartnerLink -> ERP Issue | Customer wants to set up a delivery for February 28th despite previous inclement weather.,1,1.0,Meeting Location
h1 Please add 364029 Full Bin Of Albertsons 2 Milk Confirm that the expiration date is 32024 before adding If the expiration date is not 52024 please do not add it,"Customer wants to add a full bin of milk to their order, but only if the expiration date is 32024.",Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,052024 04f58131cbb67d43c7b30d6b58d40bd077Hi Monica Cole We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 052024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support We were unable to add this item to your order and apologize for the inconvenience Charity,"Orders - Pre delivery -> Edit Order Items | Customer wants to add a full bin of milk to their order, but only if the expiration date is 32024.",-1,0.0,Add items to order
Unable to add squash to the order there is no available date 800906,Customer is unable to add squash to their order due to unavailable dates.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,072024 01f58131cbb67d43c7b30d6b58d40bd077Hi Monica Cole We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 072024 01b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support Unfortunately there is no more of that item available to order Charity | 072024 0165d20c5a0c84458e8ce1adb90d07460f2d55c854186845c0af26130a1c9758edThank you Not sure why it is showing up online | 072024 0165d20c5a0c84458e8ce1adb90d07460f2d55c854186845c0af26130a1c9758edThank you Not sure why it is showing up online | 072024 01f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> Produce Request | Customer is unable to add squash to their order due to unavailable dates.,6,0.8815825942194041,Add to Order
Dairy Products We are currently processing your order until we have finished processing you will not be able to complete more orders A,Customer is aware that their order is being processed and cannot place more orders until it is completed.,Partner Knowledge/Training,Orders - Pre delivery,122024 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support Please be aware that due to the introduction of produce limits in our system partners will need to wait 30 minutes after placing an order before they can edit it Please allow for the system to update with your current changes before you try to make any further edits If the issue still persists please let us know Charity,Orders - Pre delivery | Customer is aware that their order is being processed and cannot place more orders until it is completed.,17,0.870091844685324,Order Changes
h1 I am unable to add 827004 Pallet of Potatoes to my order online If they are available on my delivery date please add them to my order Thanks,Customer is unable to add a pallet of potatoes to their order online and requests assistance.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,052024 08f58131cbb67d43c7b30d6b58d40bd077Hi Monica Cole We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 052024 0938c8249284fe40dc890161d65a68f6d3Good morning and thank you for contacting customer support I have added the potatoes as requested CiArra,Orders - Pre delivery -> Produce Request | Customer is unable to add a pallet of potatoes to their order online and requests assistance.,-1,0.0,Add items to order
When trying to add the menu item to my order I receive an error message aInternal Errora 362014 Eggs,Customer is experiencing an error adding an item to their order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,062024 01f58131cbb67d43c7b30d6b58d40bd077Hi Monica Cole We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 062024 0138c8249284fe40dc890161d65a68f6d3Good afternoon I have added one of 362014 Eggs onto your order Please let me know what quantity of this item you were wanting CiArra | 062024 04f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CR | 062024 08f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CR | 062024 10f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CR | 062024 12f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CR | 062024 02f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CR | 062024 04f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CR | 062024 08f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CR | 062024 0938c8249284fe40dc890161d65a68f6d3Eggs have been added to this order,Orders - Pre delivery -> Edit Order Items | Customer is experiencing an error adding an item to their order.,10,0.4910211998623145,Add items to order
I would like to add a bin of corn to my order but there is no available order date online,Customer wants to add a bin of corn to their order but there is no available date online.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,072024 04f58131cbb67d43c7b30d6b58d40bd077Hi Monica Cole We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 072024 0538c8249284fe40dc890161d65a68f6d3Good afternoon and thank you for contacting customer support Unfortunately we no longer have any corn available to add to your order at this time You do have until 7when they become available CiArra | 072024 0565d20c5a0c84458e8ce1adb90d07460f2d55c854186845c0af26130a1c9758edThank you Yes please add any produce thst might be available Our order doesnaTMt close until next week Have a great evening Monica | 072024 05f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> Produce Request | Customer wants to add a bin of corn to their order but there is no available date online.,6,0.7637274301560449,Add to Order
Unable to remove items from the cart and cancel order for 82024,Customer is unable to remove items from their cart and cancel their order.,Partner Knowledge/Training,Orders - Pre delivery -> Cancelation,082024 06f58131cbb67d43c7b30d6b58d40bd077Hi Monica Cole Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 082024 0938c8249284fe40dc890161d65a68f6d3Good morning and thank you for contacting customer support Partners are unable to close outcancel orders themselves completely Please donaTMt hesitate to contact customer support if you need any other orders canceled in the future I have canceled SO172799 as requested CiArra,Orders - Pre delivery -> Cancelation | Customer is unable to remove items from their cart and cancel their order.,0,1.0,cancel order
Unable to add 700719 or 700566 to the order They appear on the menu but I am unable to add either of them We would like one of either if they are available Thanks,Customer wants to add items to their order that are available on the menu but cannot be added.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,092024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support Unfortunately both of the items you requested are sold out and no longer available At this time we cannot accommodate your request Charity,Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order that are available on the menu but cannot be added.,10,0.537161061762743,Add items to order
Can the driver who delivers on Wednesday November 25th pick up pallets 3103 Shepherd Street Mount Rainier MD 20712 Little David Baptist Church,Customer wants the driver to pick up pallets at a specific location.,Request of Customer Relations,Delivery / Pickup -> Pallet Pickup,112024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support I have contacted Transportation to schedule your pallet pickup I will followup shortly to confirm our soonest availability Charity | 112024 03b15fa988bc6049b4aa6fe30b7a3629c1Hello We have scheduled a pallet pickup for your agency tomorrow Charity,Delivery / Pickup -> Pallet Pickup | Customer wants the driver to pick up pallets at a specific location.,5,0.8791412701119415,Pallet Pickup
